round,player_hand,dealer_hand,actions,result
651,"3,10","8,6,8",0,0
652,"10,3","10,11",,-1
653,"10,2","3,10,2,10",0,0
654,"10,9","10,8",0,1
655,"10,4","10,11",,-1
656,"10,2","8,4,5",0,-1
657,"8,3","2,11,10,4",0,-1
658,"3,8,6","4,11,10,10",2,0
659,"10,7","11,6","3,3,0",0
659,"10,4","11,6","3,3,0",-1
659,"10,2","11,6","3,3,0",-1
660,"10,6,10","4,10,5",1,-1
661,"8,2","11,8",0,-1
662,"10,8","10,7",0,1
663,"11,10","10,10",0,1
664,"10,2,7","10,3,2,5",2,-1
665,"7,3,4","9,11",2,-1
666,"10,9,8","3,10,10",1,-1
667,"8,2","10,10",0,-1
668,"9,11","3,8,8",0,1
669,"10,10","10,10",0,0
